contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00001	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	40.98904408991058	55.79415093083631	180268	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	unclassified	551	23.401045557519502	10.817657015503606
scaffold00002	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	43.62703427584326	56.42047004273116	175984	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	unclassified	unclassified	1903409	23.431782111537192	10.817881397733665
scaffold00004	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	54.58641895258441	56.71442124589627	146513	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	23.47545721870929	11.024566563386518
scaffold00007	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	25.199930133875824	55.87954258237525	97329	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	25.595941568823733	5.47630596472738
scaffold00010	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	62.32042271988252	56.27786227513505	76268	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	23.486586636537048	11.038904673317608
scaffold00012	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	46.1655885082628	55.65790749539416	72191	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	unclassified	unclassified	1903409	23.359821859335277	10.711432715724872
scaffold00013	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	25.28297653414125	55.00757424186126	69974	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	23.60461376584813	4.732682496737467
scaffold00015	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	57.6517582792762	53.77707186010955	67367	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	22.96017245562246	9.440931659528456
scaffold00016	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	28.368692212153277	57.10627597098916	65217	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	25.94582294183117	4.989721162942397
scaffold00017	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	21.14779111534093	50.55413993184539	65146	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	pantoea_agglomerans	549	21.406110954600223	6.747286782478397
scaffold00018	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	42.791969960449975	54.03733398993552	64981	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	unclassified	unclassified	1903409	23.12563638234311	10.070129650916558
scaffold00019	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	55.61889075319797	56.502932438464974	64963	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	23.47667355004392	10.937979573211516
scaffold00021	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	51.68205948298602	57.14356370350831	60656	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	23.513115320271705	11.067967435595564
scaffold00022	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	38.51050409651421	52.87757179328872	59929	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	unclassified	unclassified	1903409	22.908390578241622	9.2311507646396
scaffold00023	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	25.10024261691625	59.98828745921526	59765	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	27.28421431961719	4.77193713679164
scaffold00024	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	24.88519094935951	56.45704708316944	58471	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	25.747742506055044	5.339619665580721
scaffold00027	bin_0003	25.899280575539567	100.0	1.3657717130059022	2.262257251520318	9.559717765525557	57.32799120676512	56407	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	26.035917084014383	4.54474807261407
scaffold00028	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	67.68329926228779	56.98871211447872	56255	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	unclassified	551	23.54363503643429	11.232508415702592
scaffold00031	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	39.931552462727055	55.74012757917578	53457	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	23.38679043603524	10.80358401755208
scaffold00032	bin_0001	31.654676258992804	97.72727272727273	7.533535640955151	2.3715541717757516	48.32023553391462	56.24127127920583	52986	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	erwinia	erwinia_sp._198	2022746	23.45122861114673	10.981652027661006
scaffold00033	bin_0002	38.1294964028777	98.11320754716981	3.972878086697825	2.9034055280194395	26.162102871469425	58.822031574411405	51054	bacteria	proteobacteria	gammaproteobacteria	enterobacterales	erwiniaceae	pantoea	unclassified	53335	26.925041157151288	4.810253857287888
