intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
10650000,0.010796727527093196,0.11391592683709488,0.11391592683709488,0.011786579899731068,GCA_000382605.1.fna,,f8d0f4c8,93490000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
350000,0.00038568768113546455,0.08235294117647059,0.08235294117647059,0.00038735239107097404,GCA_002928325.1.fna,,a79ac191,4250000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
30000,3.3013106203162655e-05,0.005780346820809248,0.005780346820809248,3.32016335203692e-05,GCA_002928355.1.fna,,faaad7ff,5190000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
40000,4.400585277841953e-05,0.007352941176470588,0.007352941176470588,4.4268844693825605e-05,GCA_002928365.1.fna,,491c7c35,5440000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
60000,6.60095053687731e-05,0.011009174311926606,0.011009174311926606,6.64032670407384e-05,GCA_011752515.1.fna,,5ff02c7c,5450000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.1003278977135187e-05,0.0019011406844106464,0.0019011406844106464,1.1067211173456401e-05,GCA_011752525.1.fna,,62b7c670,5260000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
30000,3.3013106203162655e-05,0.005780346820809248,0.005780346820809248,3.32016335203692e-05,GCA_011752575.1.fna,,faaad7ff,5190000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.1001342163743977e-05,0.0018450184501845018,0.0018450184501845018,1.1067211173456401e-05,GCA_011752615.1.fna,,75037606,5420000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1996392591614976e-05,0.0035149384885764497,0.0035149384885764497,2.2134422346912802e-05,GCA_011752625.1.fna,,efd871c1,5690000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.2009221863961e-05,0.003875968992248062,0.003875968992248062,2.2134422346912802e-05,GCA_011752635.1.fna,,dea459ea,5160000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
320000,0.00035268703434289996,0.07862407862407862,0.07862407862407862,0.00035415075755060484,GCA_011752675.1.fna,,68400367,4070000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
30000,3.299386314145569e-05,0.005244755244755245,0.005244755244755245,3.32016335203692e-05,GCA_011752685.1.fna,,5effad17,5720000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
130000,0.00014301115487007986,0.023297491039426525,0.023297491039426525,0.00014387374525493321,GCA_011752715.1.fna,,3f9535a0,5580000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
130000,0.00014301115487007986,0.023297491039426525,0.023297491039426525,0.00014387374525493321,GCA_011752735.1.fna,,3f9535a0,5580000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
550000,0.0006057535574254373,0.11133603238866396,0.11133603238866396,0.000608696614540102,GCA_011752745.1.fna,,e9ee7271,4940000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
110000,0.00012105338454258328,0.021032504780114723,0.021032504780114723,0.00012173932290802041,GCA_011752755.1.fna,,c2868438,5230000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
40000,4.4032980702546205e-05,0.00819672131147541,0.00819672131147541,4.4268844693825605e-05,GCA_011752765.1.fna,,322a110d,4880000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.1007518134886128e-05,0.002036659877800407,0.002036659877800407,1.1067211173456401e-05,GCA_011752815.1.fna,,ff3e1930,4910000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.2023278605485998e-05,0.004366812227074236,0.004366812227074236,2.2134422346912802e-05,GCA_011752835.1.fna,,2a5f74a7,4580000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
210000,0.0002312698919639219,0.044967880085653104,0.044967880085653104,0.00023241143464258442,GCA_011752845.1.fna,,04760ff8,4670000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.100800281804872e-05,0.002053388090349076,0.002053388090349076,1.1067211173456401e-05,GCA_011752855.1.fna,,f74384a2,4870000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.1007881643256571e-05,0.0020491803278688526,0.0020491803278688526,1.1067211173456401e-05,GCA_011752865.1.fna,,0a5d5582,4880000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1939447125932428e-05,0.002484472049689441,0.002484472049689441,2.2134422346912802e-05,GCA_011752985.1.fna,,2163b024,8050000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1935837674801207e-05,0.0024390243902439024,0.0024390243902439024,2.2134422346912802e-05,GCA_011753035.1.fna,,f9a0dfd9,8200000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
3350000,0.003687275048705051,0.40312876052948254,0.40312876052948254,0.0037075157431078944,GCA_011753045.1.fna,,7b878cd7,8310000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1940891239002127e-05,0.0025031289111389237,0.0025031289111389237,2.2134422346912802e-05,GCA_011753075.1.fna,,ed17eed3,7990000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
1770000,0.001946937697993664,0.24180327868852458,0.24180327868852458,0.001958896377701783,GCA_011753085.1.fna,,3017937e,7320000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
3340000,0.0036763491871305764,0.4033816425120773,0.4033816425120773,0.0036964485319344377,GCA_011753135.1.fna,,68009c3d,8280000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
3310000,0.003643247883944394,0.40024183796856105,0.40024183796856105,0.0036632468984140686,GCA_011753145.1.fna,,6761aa32,8270000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1942576277880786e-05,0.0025252525252525255,0.0025252525252525255,2.2134422346912802e-05,GCA_011753155.1.fna,,96e91579,7920000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1943057765099568e-05,0.002531645569620253,0.002531645569620253,2.2134422346912802e-05,GCA_011753175.1.fna,,f7d1633b,7900000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.102365676742289e-05,0.002793296089385475,0.002793296089385475,1.1067211173456401e-05,GCA_011753235.1.fna,,f7337aa9,3580000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
80000,8.814455707360071e-05,0.019464720194647202,0.019464720194647202,8.853768938765121e-05,GCA_011753255.1.fna,,22677795,4110000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
120000,0.00013133126121787857,0.011684518013631937,0.011684518013631937,0.0001328065340814768,GCA_011754595.1.fna,,e1e75b9f,10270000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20220000,0.019980237154150197,0.15717061795569373,0.15717061795569373,0.022377900992728843,GCA_022457215.1.fna,,61a8610e,128650000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0729268371189768e-05,0.00035124692658939234,0.00035124692658939234,1.1067211173456401e-05,GCF_000002655.1_ASM265v1_genomic.fna,,da51220c,28470000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0960705869457992e-05,0.0011376564277588168,0.0011376564277588168,1.1067211173456401e-05,GCF_000181695.1_ASM18169v1_genomic.fna,,60ae9c0d,8790000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0676232571050328e-05,0.00030211480362537764,0.00030211480362537764,1.1067211173456401e-05,GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic.fna,,96d28c3a,33100000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0652803817964888e-05,0.0002844141069397042,0.0002844141069397042,1.1067211173456401e-05,GCF_001204775.2_ASM120477v2_genomic.fna,,9f75e517,35160000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0701367634783725e-05,0.00032362459546925567,0.00032362459546925567,1.1067211173456401e-05,GCF_001299255.1_ASM129925v1_genomic.fna,,96dd5e4f,30900000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0681250133515627e-05,0.0003061849357011635,0.0003061849357011635,1.1067211173456401e-05,GCF_001642055.1_Altal1_genomic.fna,,2c5419dc,32660000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0497916163641518e-05,0.00020403999183840033,0.00020403999183840033,1.1067211173456401e-05,GCF_001831195.1_CORC01_genomic.fna,,e45774aa,49010000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
100000,0.00011001100110011001,0.018083182640144666,0.018083182640144666,0.00011067211173456401,GCF_009648975.1.fna,,23562a2a,5530000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
4090000,0.004522635292036181,0.8415637860082305,0.8415637860082305,0.004526489369943668,GCF_011044475.1.fna,,0a3a4ba8,4860000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0564570655848546e-05,0.00023255813953488373,0.00023255813953488373,1.1067211173456401e-05,GCF_012971845.1_ASM1297184v1_genomic.fna,,8110f513,43000000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0744369950146124e-05,0.0003681885125184094,0.0003681885125184094,1.1067211173456401e-05,GCF_015533775.1_ASM1553377v1_genomic.fna,,ed31fc4d,27160000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
10000,1.0514694285263656e-05,0.0002105706464518846,0.0002105706464518846,1.1067211173456401e-05,GCF_022495145.1_Xylbam139988_1_genomic.fna,,c396c270,47490000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
20000,2.1077702951932298e-05,0.000441306266548985,0.000441306266548985,2.2134422346912802e-05,GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna,,30f69fb9,45320000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
30000,3.2167442259441145e-05,0.0010316368638239339,0.0010316368638239339,3.32016335203692e-05,ICBG2046.fna,,b78f627e,29080000,11231.5.197616.GTAGAG.fastq.gz.abundtrim,,a41f1278,903570000
