intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2737000,0.03060049416947106,0.0073463690899574574,0.03060049416947106,0.03060049416947106,,,,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.0073463690899574574,2737000,0,6791000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1853000,0.020717104748275438,0.0003546241409169463,0.019587893965989513,0.019587893965989513,,,,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0003750676558898981,1752000,1,5039000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1171000,0.013092136891651666,0.002035434255473548,0.012857350491374394,0.012857350491374394,,,,GCA_001687015.1_ASM168701v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0dc1cb25e7c7b4bf1bceb809ce434656,0.002072603054921326,1150000,2,3889000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
582000,0.0065069373791129545,0.0013303206928286571,0.005042317453573785,0.005042317453573785,,,,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.00171673313353942,451000,3,3438000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
411000,0.004595105262569458,0.0007945160336495597,0.003935467280838076,0.003935467280838076,,,,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.0009276877551987758,352000,4,3086000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1068000,0.011940565499815524,0.0011572505395289678,0.0037230414901110206,0.0037230414901110206,,,,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.0037115422709217342,333000,5,2753000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
376000,0.004203794595440672,0.0010815480645895229,0.0036671399662354795,0.0036671399662354795,,,,GCA_000149285.1_OrySat_Sep2003_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73688dd917b38744bb1c0664ba677dff,0.0012398233911148188,328000,6,2425000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
580000,0.006484576769562738,0.000801855995537497,0.0028286171081023668,0.0028286171081023668,,,,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.0018382469462914952,253000,7,2172000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
584000,0.006529297988663171,0.0005843541037931239,0.0026497322317006362,0.0026497322317006362,,,,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.001439927411878415,237000,8,1935000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
387000,0.004326777947966862,0.0002879795862571767,0.0017664881544670907,0.0017664881544670907,,,,GCA_900235945.1_Canthatch-W_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,39129f194483f72b6f6bd6db3fd87669,0.0007053677207691606,158000,9,1777000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
