intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4288000,0.013988934126735568,0.011509401044113108,0.013988934126735568,0.013988934126735568,,,,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.011509401044113108,4288000,0,12086000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3605000,0.011760752688172043,0.0007023663064964632,0.011320336151999165,0.011320336151999165,,,,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0007296917968068444,3470000,1,8616000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
1766000,0.005761300762083725,0.00392053702165962,0.004035520409228521,0.004035520409228521,,,,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.005597145012328932,1237000,2,7379000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
1097000,0.0035787921494936843,0.0014224000991329819,0.0035200699446706336,0.0035200699446706336,,,,GCA_023529015.1_Yrk_Pnu_10X_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c55cac35c182bafceb47ec1a0fb5ea32,0.0014461287384141624,1079000,3,6300000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
973000,0.0031742614051571147,0.0029478779565336385,0.002916536172878171,0.002916536172878171,,,,GCA_000149285.1_OrySat_Sep2003_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73688dd917b38744bb1c0664ba677dff,0.003208372764773188,894000,4,5406000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
1161000,0.003787582211086752,0.0020045564826321085,0.002652286251174444,0.002652286251174444,,,,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.0028625954198473282,813000,5,4593000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
1050000,0.003425461948011275,0.0003413260056984727,0.00206506420294394,0.00206506420294394,,,,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.000566180578172822,633000,6,3960000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
959000,0.003128588579183631,0.00029911096502202805,0.001516990291262136,0.001516990291262136,,,,GCA_019775975.1_OSU_SAla_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,24b444ede46220a92a1a738fffee434c,0.0006168761622712364,465000,7,3495000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
429000,0.001399545881616035,0.0006839157903290244,0.000988490447854682,0.000988490447854682,,,,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.0009683164160104009,303000,8,3192000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
561000,0.0018301753836517383,0.00019914563716786856,0.00092650589831924,0.00092650589831924,,,,GCA_024704795.1_ASM2470479v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,571e1770f92148b38017b63373df3302,0.0003933827551097685,284000,9,2908000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
629000,0.002052014824094373,0.00035949025435377303,0.0006100584612172461,0.0006100584612172461,,,,GCA_023376185.1_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,224c62fd568fb581780bfe68067845a6,0.0012091944919172366,187000,10,2721000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
497000,0.00162138532205867,3.113727095602141e-05,0.0005970090823676793,0.0005970090823676793,,,,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,8.456406374394887e-05,183000,11,2538000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
240000,0.0007829627309740056,0.00034360349874262597,0.0005219751539826704,0.0005219751539826704,,,,GCA_020877215.1_ASM2087721v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b01a18813b3ca6e8804662db73563bbf,0.0005154052481139389,160000,12,2378000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
434000,0.0014158576051779936,0.0008135390017020093,0.0004958763962835369,0.0004958763962835369,,,,GCA_900006705.1_sca_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c8bf25d7967b207db9f02751b9564677,0.0023228679390702106,152000,13,2226000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
440000,0.0014354316734523436,0.0001761147887634005,0.00048282701743397014,0.00048282701743397014,,,,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.0005235845071344338,148000,14,2078000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
459000,0.0014974162229877857,0.0002478811628542787,0.00044367888088526987,0.00044367888088526987,,,,GCA_900235945.1_Canthatch-W_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,39129f194483f72b6f6bd6db3fd87669,0.0008365989246331906,136000,15,1942000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
339000,0.0011059348575007829,8.926095982580588e-05,0.0004306295020357031,0.0004306295020357031,,,,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.0002292383740980924,132000,16,1810000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
397000,0.001295150850819501,0.0003352870250369138,0.0003392838500887358,0.0003392838500887358,,,,GCA_012979555.1_Agr_To.v5_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0327513c7dae7d70a5a6e01771bbd498,0.001279893739804373,104000,17,1706000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
271000,0.000884095417058148,0.00014662016092377217,0.0002936110241152521,0.0002936110241152521,,,,GCA_018493915.1_araca.K10017.gnm1.DQ4M_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,6df040e944ac2c13fc4f1a59a1d5e082,0.00044148959567046953,90000,18,1616000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
459000,0.0014974162229877857,0.00024777591618094723,0.000274036955840902,0.000274036955840902,,,,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.0013539183991316045,84000,19,1532000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
229000,0.000747076939137697,0.00028149337448001916,0.0002642499217037269,0.0002642499217037269,,,,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.0007958269476040048,81000,20,1451000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
280000,0.0009134565194696732,9.54399439638556e-06,0.00024141350871698507,0.00024141350871698507,,,,GCA_024346515.1_shallot_DHA_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a4534bb31e68273bd66fc458c95be41a,3.611241122956698e-05,74000,21,1377000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
235000,0.0007666510074120471,0.0001884575305412057,0.00022183944044263493,0.00022183944044263493,,,,GCA_000510995.2_Spinach-1.0.3_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0ad17484f3194ff500a7ea02a3c8641d,0.0006512870540762256,68000,22,1309000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
183000,0.0005970090823676793,3.983618876317688e-05,0.00021531475101785154,0.00021531475101785154,,,,GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,81441a121df0ea132d13ea1816f9dd50,0.00011045488702517225,66000,23,1243000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
249000,0.0008123238333855308,1.4950189418899937e-05,0.00021205240630545985,0.00021205240630545985,,,,GCA_900000045.1_Synthetic_W7984_assembly_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,21c0f44e1c6d8b9a3a20c356765c036b,5.7270725620093605e-05,65000,24,1178000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
221000,0.0007209781814385635,6.518493597157095e-05,0.0002022653721682848,0.0002022653721682848,,,,GCA_011763485.1_ASM1176348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,20159478b43319ea891715d7d478a5b0,0.0002323527556405997,62000,25,1116000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
