intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
209000,0.00255798298757726,0.0033999219156689224,0.00255798298757726,0.00255798298757726,,,,"GCA_000252605.1 Pseudoperonospora cubensis, ASM25260v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,dfc0f3aeb81135e5b79bb7dde23e4ff0,0.0033999219156689224,209000,0,1042000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
200000,0.0024478306101217797,0.0007459530126504403,0.0023743956918181263,0.0023743956918181263,,,,"GCA_003640625.1 Plasmopara obducens strain=PA1-1, ASM364062v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9c3e6b6322f38622fb32c9b943118532,0.0007690237243818972,194000,1,848000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
194000,0.0023743956918181263,0.001029111461930958,0.0023376782326662996,0.0023376782326662996,,,,"GCA_003640485.1 Plasmopara obducens strain=H12-14-11, ASM364048v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,51d003d9989562ae241ddbed6f67cca3,0.001045275516306837,191000,2,657000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
171000,0.0020928951716541215,0.0027817919075144508,0.0018848295697937703,0.0018848295697937703,,,,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3e2ce51a8fb67a45fbb75ad2dcb7cff9,0.0030888728323699424,154000,3,503000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
97000,0.0011871978459090631,0.002257014563683448,0.0011627195398078453,0.0011627195398078453,,,,"GCA_000333115.2 Phytophthora kernoviae 00844/4 strain=00844/4, PhyKer844/4v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,42a096a28530a7fc688576419b23f81b,0.002304530659760994,95000,4,408000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
92000,0.0011260020806560186,0.0007870671130878017,0.0007710666421883606,0.0007710666421883606,,,,"GCA_015144965.1 Chromulinospumella sphaerica strain=JBC27, ASM1514496v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,792e49b1775670b0fb3f8a44fcc7d7a1,0.001149367847683774,63000,5,345000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
86000,0.0010525671623523652,0.0001470637797229686,0.0005874793464292271,0.0005874793464292271,,,,"GCA_003640505.1 Plasmopara halstedii, ASM364050v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,5905a6d59272b14945d51be7ae4ba091,0.0002634892720036521,48000,6,297000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
47000,0.0005752401933786182,0.0006456068704582307,0.0005262835811761826,0.0005262835811761826,,,,"GCA_000258005.2 Hammondia hammondi strain=H.H.34, HHA1 v02",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,c8bda741a45f3b4ab80122c5ada99cfe,0.0007056633235241127,43000,7,254000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
51000,0.0006241968055810538,0.0017349713964175185,0.0004528486628725292,0.0004528486628725292,,,,"GCA_917563895.1 Entamoeba histolytica HM-1:IMSS strain=Rahman, Assembly 1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,505c743e0d67a7bc0ca1aafdd563b0cc,0.00239144705992685,37000,8,217000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
45000,0.0005507618872774004,0.0005835006607286894,0.0004161312037207025,0.0004161312037207025,,,,"GCA_000318465.2 Phytophthora lateralis MPF4 strain=MPF4, MPF4_v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6326779a8412ca0bbcba967fdc89d7c2,0.0007722802862585595,34000,9,183000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
