intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3828000,0.05079078654070693,0.7094143810229799,0.05079078654070693,0.05079078654070693,,,,"GCA_016632445.1 Enterobacter hormaechei strain=90H3, ASM1663244v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a2db62a2e890c8b2268c96722ee7a8ef,0.7094143810229799,3828000,0,46995000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
3217000,0.04268389767540601,0.6903099083369707,0.04196741322577221,0.04196741322577221,,,,"GCA_000330845.1 Enterobacteriaceae bacterium strain FGI 57 strain=FGI 57, ASM33084v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8aa7aae4817b9cea43e4118748cd82fc,0.7020951549541685,3163000,1,43832000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
2661000,0.03530676149028766,0.49161265726267633,0.034218766585288184,0.034218766585288184,,,,"GCA_022319725.1 Klebsiella aerogenes strain=CFSAN086770, PDT000569674.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3d727aa61e427e74451ab1d688a43731,0.5072436141822341,2579000,2,41253000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
2651000,0.035174079184799915,0.47047936331667595,0.033727842054983546,0.033727842054983546,,,,"GCA_004353845.1 Citrobacter sp. LY-1 strain=LY-1, ASM435384v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ec8cde88291bfceb4f881dfab719ccf1,0.4906533407366278,2542000,3,38711000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
1992000,0.026430315253157838,0.3709495101733233,0.026125145950536038,0.026125145950536038,,,,"GCA_009830025.1 Pantoea sp. Taur strain=Taur, ASM983002v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,aa661470763018fdb132668c7d97aaf4,0.3752825923134891,1969000,4,36742000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
1988000,0.026377242330962742,0.3218035824583076,0.020738244347733786,0.020738244347733786,,,,"GCA_022213245.1 Enterobacter mori strain=N8, ASM2221324v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bc8c3c0c51de0f4b82bb0823811f753b,0.40930615606341364,1563000,5,35179000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
1440000,0.019106251990234583,0.25303750660327523,0.01906644729858826,0.01906644729858826,,,,"GCA_000511325.1 Pseudomonas sp. FGI182 strain=FGI182, ASM51132v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b32752d3d235262af90e16fdcbab0bd2,0.25356576862123614,1437000,6,33742000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
1517000,0.020127905742490182,0.3387183629509962,0.01669143403035771,0.01669143403035771,,,,"GCA_913778545.1 uncultured Enterobacter sp., S3C25280_SP266",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e6dd58ac204de6d1f03d914e59f9fddd,0.40845449649973076,1258000,7,32484000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
1380000,0.018310158157308142,0.2612442202606137,0.016492410572126102,0.016492410572126102,,,,"GCA_017154235.1 Citrobacter sp. ku-bf4 strain=ku-bf4, ASM1715423v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,2e337fb77aa8180b8d2a129632cace55,0.2900378310214376,1243000,8,31241000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
2639000,0.035014860418214624,0.22304111714507371,0.015258465131090118,0.015258465131090118,,,,"GCA_000383335.1 Klebsiella aerogenes FGI35 strain=FGI35, ASM38333v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,5544fcde0ecb000a75b0d73343ff385e,0.5118308766485647,1150000,9,30091000,AttcolgardBottom_FD_2029527006.a.fna,ACOFG988_contig00521,7ed67288,75368000
